Model;acc;val_acc;test_acc
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adam;0.914055387172671;0.897116841151971;0.8938175485325
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adamax;0.906342062743758;0.898634288488281;0.893356553808329
model : layers: [40, 30] ['relu', 'relu'] optimizer: SGD;0.894450692545844;0.894537175642341;0.893100445628233
model : layers: [40, 40] ['relu', 'relu'] optimizer: RMSprop;0.9264020575626;0.888315628077807;0.892998002356195
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.897557446745788;0.888770862938963;0.890232034011166
model : layers: [40, 50, 50, 10] ['relu', 'relu', 'relu', 'relu'] optimizer: SGD;0.897985963166523;0.894233683805364;0.888644163294576
model : layers: [40, 10] ['relu', 'relu'] optimizer: RMSprop;0.891343937202912;0.884066761173138;0.888592941658557
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.899539340557031;0.886342940453513;0.886441632945756
model : layers: [40, 20] ['relu', 'relu'] optimizer: SGD;0.903503132406661;0.886191197610227;0.886031859857604
model : layers: [40, 50, 50, 20] ['relu', 'relu', 'relu', 'relu'] optimizer: SGD;0.899619687222293;0.883459782021541;0.885724530041489
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adam;0.885746423155668;0.876631256481223;0.87758028991446
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.895013121443956;0.870864946310365;0.874353326845259
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adagrad;0.885960678914037;0.868285281795652;0.874353326845259
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.884085915593612;0.872534145986907;0.872560569584593
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.883496705184656;0.871471925914197;0.872304461404497
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adagrad;0.881032726078758;0.873596358733401;0.871792245044307
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: SGD;0.878381272051674;0.876024282846899;0.870358039235773
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: SGD;0.869087794595988;0.872534140107845;0.868616503611125
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adagrad;0.881729068447177;0.870864943054269;0.864416329457563
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adagrad;0.875622688341526;0.868588768205802;0.864365107821544
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adamax;0.860383526106155;0.853566010732752;0.857603851867029
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.862847502357774;0.859180569648743;0.856067202786457
model : layers: [40, 20] ['relu', 'relu'] optimizer: SGD;0.855482351589014;0.84901364846367;0.848486400655637
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: SGD;0.852643420597412;0.845371780337622;0.844491113046151
model : layers: [40, 10] ['relu', 'relu'] optimizer: Nadam;0.831940649614968;0.834294385902798;0.833939456026225
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adagrad;0.844099844614384;0.834294383822515;0.830814936229063
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.827119822532531;0.815022762972234;0.821338933565538
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adagrad;0.809122073997727;0.799696513029078;0.798084310812887
model : layers: [40, 10] ['relu', 'relu'] optimizer: SGD;0.737398896837881;0.743854323540544;0.732264508528402
model : layers: [40, 10] ['relu', 'relu'] optimizer: RMSprop;0.747736890041181;0.697572076718615;0.693182400248917
model : layers: [40, 10] ['relu', 'relu'] optimizer: SGD;0.718838717186034;0.685280729407425;0.673974286741772
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Adamax;0.605817129171503;0.607435506464679;0.603698202123629
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adamax;0.57967753982217;0.576479520258665;0.573323771961277
model : layers: [40, 50, 50, 20] ['relu', 'relu', 'relu', 'relu'] optimizer: SGD;0.209786275475842;0.214719271940237;0.207498847514716
